experiment	instrument	ms_ms_identified_percent	ms_ms	ms_ms_submitted	ms_ms_identified	peptide_sequences_identified	peaks_sequenced_percent	peaks_repeatedly_sequenced_percent	evidence__m_z	evidence__mass	evidence__score	evidence__uncalibrated_calibrated_m_z_ppm	evidence__mass_error_ppm	evidence__uncalibrated_mass_error_ppm	evidence__max_intensity_m_z_0	evidence__retention_length	evidence__number_of_data_points	evidence__number_of_scans	evidence__intensity	evidence__charge2_prop	evidence__ms_ms_count1_prop	ms_scan__cycle_time	ms_scan__ion_injection_time	ms_scan__total_ion_current	ms_scan__base_peak_intensity	ms_scan__peak_length	ms_scan__identified_multiplets_s	ms_scan__ms_ms_s	ms_scan__identified_ms_ms_s	ms_scan__ms_ms_identification_rate_percent	ms_scan__intens_comp_factor	ms_scan__ctcd_comp	ms_scan__raw_ov_ft_t	ms_scan__agc_fill	msms_scan__ion_injection_time	msms_scan__total_ion_current	msms_scan__collision_energy	msms_scan__base_peak_intensity	msms_scan__precursor_intensity	msms_scan__score	protein_counts	performance
HF221201_02	hf	46	50195	55004	25541	16424	5.8	21	638.301841	1403.71975	73.324	2.754	-0.01804	2.6807	640.797047978321	0.58424	70	27	21.9693021967707	9.12752382327919	9.04245987436531	0.32959	10	24.7855891227068	20.7347129274565	4.849	0.5696	5.1315	0.93335	19.58	0.8471	2.934	19.2368101190463	0.550000011920929	65	18.6396233406525	28	15.4823352983858	19.2937909974506	34.6845349795389	2333	good
HF221201_03	hf	47	49827	54516	25399	16475	5.8	21	639.839908	1406.658225	74.162	3.35295	-0.0106635	3.2724	642.819472641295	0.57792	69	26	21.9989319348012	9.14686431498257	9.05853910825919	0.32867	10	24.8892742682299	20.9525507298937	4.869	0.53705	4.869	0.8648	19.03	0.8609	2.877	19.3149618759341	0.569999992847443	65	18.6770726839223	28	15.5089708092273	19.3327897045927	34.8077436043452	2344	good
HF230116_01	hf	48	47471	51752	25021	17617	5.6	18	625.802639	1359.68165	80.037	1.7201	0.00243375	1.6409	628.841228113188	0.51962	63	24	22.283677339888	9.30009074784836	9.26839481389187	0.24765	10	25.2491258975903	22.033285871021	4.955	0.2942	3.263	0.5494	15.1	0.9154	1.868	19.5886999977742	0.400000005960464	65	19.3500931729055	28	16.0735767539432	19.6255142710299	42.7886469669395	2512	good
HF230116_02	hf	48	47817	52047	25118	17726	5.8	17	632.848427	1381.76055	80.596	1.9427	0.012643	1.876	636.3003919739	0.51004	61	23	22.2241442045377	9.2973974979687	9.29261314333367	0.24931	10	25.3778578881701	22.157922956813	4.935	0.29	3.294	0.417	15.82	0.9371	1.962	19.6846096086112	0.439999997615814	65	19.3620679555468	28	16.066341505445	19.6106496697748	42.7176414774104	2551	good
HF230116_03	hf	48	47834	52115	25248	18477	5.9	16	623.8299	1356.76128	80.596	1.73325	0.0114605	1.68175	627.313396853409	0.48694	55	21	22.2656505230546	9.35341763256999	9.41187084806868	0.24399	10	25.1498847432603	22.1407255670702	4.877	0.2433	2.899	0.4588	15.41	0.90005	2.202	19.5167708101716	0.439999997615814	65	19.3674424803218	28	16.0788387877661	19.6201629288339	42.8691538452975	2582	good
HF230126_01	hf	48	51337	56106	26689	17482	6	20	640.657177	1413.70997	79.346	-0.309865	-0.011903	-0.35469	642.843537648238	0.58267	65	25	22.1772619723572	9.18622395160582	9.12523023453474	0.32959	10	25.4481826131078	22.2903023959295	4.855	0.5371	4.9	0.6957	17.82	0.9488	1.9	19.7339798597693	0.620000004768372	65	19.1908952976622	28	15.8941782970603	19.5531997928579	37.9535346608367	2420	good
HF230126_02	hf	48	51127	55656	26634	17466	5.8	20	642.293459	1419.62348	79.474	0.35478	-0.0048957	0.29608	643.957205614456	0.5868	66	25	22.1563806271377	9.1881474165727	9.12063619319774	0.32959	10	25.4870012976174	21.5789060754832	4.9265	0.4709	4.9495	0.75685	16.34	0.95445	2.046	19.7570997116097	0.550000011920929	65	19.2093629278091	28	15.9094946754683	19.5619428772805	38.5827778470102	2476	good
HF230126_03	hf	47	51039	55577	26291	17277	5.8	21	642.32853	1421.69393	79.555	0.86315	-0.0252855	0.73663	644.871335840264	0.58745	65	25	22.1892882872853	9.1838993135944	9.10211802235481	0.32959	10	25.3688129058562	20.8704189043673	4.891	0.4934	4.843	0.7181	16.235	0.9306	2.059	19.6565773521135	0.5	65	19.2171720116148	28	15.9326761338652	19.5694750673312	38.3032041592268	2485	good
HF230201_01	hf	46	52145	58378	26832	19049	5.7	17	632.868631	1393.61099	81.548	3.12565	-0.0219245	3.01535	636.368788960817	0.51594	59	22	22.2844683063472	9.31365435839528	9.39174629069631	0.34607	10	25.5152681592805	21.130314151169	4.975	0.5815	5.912	0.8905	20.01	0.9598	2.102	19.7789334370246	0.699999988079071	65	19.3391714928227	28	16.0379115281318	19.6719292992053	40.4964424409568	2651	good
HF230201_02	hf	46	51282	56966	26108	19320	5.7	15	628.845884	1381.72014	82.64	2.6722	-0.01764	2.5711	631.339332568706	0.482515	53	20	22.3686364734927	9.34458902496542	9.48273193268735	0.32959	10	25.4050470402417	21.3426150432159	4.7315	0.36685	4.5325	0.5141	16.89	0.94085	2.108	19.7005939698407	0.5	65	19.4133014942423	28	16.1084223589755	19.7194913901308	41.0880672365418	2657	good
HF230201_03	hf	46	50244	55840	25526	18882	5.7	15	630.496425	1381.767855	83.397	2.9054	-0.0037003	2.8328	633.794174245264	0.47935	53	20	22.3778512704395	9.33417185055554	9.47256633164081	0.32687	10	25.2540916530952	21.6724098021037	4.791	0.28885	4.1295	0.5238	16.265	0.91685	2.036	19.5952906275467	0.46000000834465	65	19.4231035951737	28	16.1028983915597	19.7079182158629	41.2314174923596	2602	good
HF230214_01	hf	45	50895	55878	25420	16091	5.2	22	641.866285	1416.60921	72.951	3.8742	-0.0016767	3.7789	644.837524168899	0.62102	75	28	21.9805022145221	9.11259753513494	8.95427167235717	0.34561	10	25.3801391646915	21.0789403981231	4.758	0.7142	5.56	1.138	21.11	0.93545	3.208	19.6776627808106	0.769999980926514	65	18.6090271987141	28	15.448438991009	19.2428140894619	31.4616706681778	2281	good
HF230214_03	hf	46	49497	54271	24873	15927	5.2	21	637.850541	1401.70671	74.262	3.4072	-0.016066	3.2852	641.308604596969	0.603425	70	27	22.0609505105374	9.1181340252652	9.02049707098316	0.32867	10	25.3197579251084	21.1559483044521	4.5695	0.4413	4.563	0.73125	17.1	0.9249	3.343	19.6315442357424	0.620000004768372	65	18.7503209843615	28	15.5622126063071	19.3181066744351	33.0882785837719	2305	good
HF230220_01	hf	42	43432	47602	20009	13768	5	20	625.840602	1364.67584	68.657	2.3796	0.0187105	2.2208	629.923729243505	0.5809	69	25	21.6010489412016	8.99409822236391	8.9192908829774	0.2435	10	24.4618890640022	21.2266450275982	3.98	0.1526	2.833	0.4246	13.79	0.8077	1.336	18.9859105732056	0.180000007152557	65	17.9859030703542	28	14.9502369169168	18.6854312872629	27.9038430637633	2051	warning
